time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,country,weekday,month,day,hour,minute
2019-08-10 02:45:00,Monaco,0,Lyon,3,2019,2020,2019,FRA,5,8,10,2,45
2019-08-10 23:30:00,Marseille,0,Reims,2,2019,2020,2019,FRA,5,8,10,23,30
2019-08-11 02:00:00,Montpellier,0,Rennes,1,2019,2020,2019,FRA,6,8,11,2,0
2019-08-11 02:00:00,Angers,3,Bordeaux,1,2019,2020,2019,FRA,6,8,11,2,0
2019-08-11 02:00:00,Nice,2,Amiens,1,2019,2020,2019,FRA,6,8,11,2,0
2019-08-11 02:00:00,Dijon,1,St Etienne,2,2019,2020,2019,FRA,6,8,11,2,0
2019-08-11 02:00:00,Brest,1,Toulouse,1,2019,2020,2019,FRA,6,8,11,2,0
2019-08-11 21:00:00,Lille,2,Nantes,1,2019,2020,2019,FRA,6,8,11,21,0
2019-08-11 23:00:00,Strasbourg,1,Metz,1,2019,2020,2019,FRA,6,8,11,23,0
2019-08-12 03:00:00,PSG,3,Nimes,0,2019,2020,2019,FRA,0,8,12,3,0
2019-08-17 02:45:00,Lyon,6,Angers,0,2019,2020,2019,FRA,5,8,17,2,45
2019-08-17 23:30:00,Nantes,0,Marseille,0,2019,2020,2019,FRA,5,8,17,23,30
2019-08-18 02:00:00,Toulouse,1,Dijon,0,2019,2020,2019,FRA,6,8,18,2,0
2019-08-18 02:00:00,Nimes,1,Nice,2,2019,2020,2019,FRA,6,8,18,2,0
2019-08-18 02:00:00,Metz,3,Monaco,0,2019,2020,2019,FRA,6,8,18,2,0
2019-08-18 02:00:00,Bordeaux,1,Montpellier,1,2019,2020,2019,FRA,6,8,18,2,0
2019-08-18 02:00:00,Amiens,1,Lille,0,2019,2020,2019,FRA,6,8,18,2,0
2019-08-18 21:00:00,St Etienne,1,Brest,1,2019,2020,2019,FRA,6,8,18,21,0
2019-08-18 23:00:00,Reims,0,Strasbourg,0,2019,2020,2019,FRA,6,8,18,23,0
2019-08-19 03:00:00,Rennes,2,PSG,1,2019,2020,2019,FRA,0,8,19,3,0
2019-08-25 02:00:00,Amiens,1,Nantes,2,2019,2020,2019,FRA,6,8,25,2,0
2019-08-25 02:00:00,Angers,3,Metz,0,2019,2020,2019,FRA,6,8,25,2,0
2019-08-25 02:00:00,Dijon,0,Bordeaux,2,2019,2020,2019,FRA,6,8,25,2,0
2019-08-25 02:00:00,Brest,1,Reims,0,2019,2020,2019,FRA,6,8,25,2,0
2019-08-25 21:00:00,Monaco,2,Nimes,2,2019,2020,2019,FRA,6,8,25,21,0
2019-08-25 23:00:00,Strasbourg,0,Rennes,2,2019,2020,2019,FRA,6,8,25,23,0
2019-08-26 03:00:00,PSG,4,Toulouse,0,2019,2020,2019,FRA,0,8,26,3,0
2019-08-28 01:00:00,Montpellier,1,Lyon,0,2019,2020,2019,FRA,2,8,28,1,0
2019-08-29 01:00:00,Lille,3,St Etienne,0,2019,2020,2019,FRA,3,8,29,1,0
2019-08-29 03:00:00,Nice,1,Marseille,2,2019,2020,2019,FRA,3,8,29,3,0
2019-08-31 02:45:00,Metz,0,PSG,2,2019,2020,2019,FRA,5,8,31,2,45
2019-08-31 23:30:00,Lyon,1,Bordeaux,1,2019,2020,2019,FRA,5,8,31,23,30
2019-09-01 02:00:00,Toulouse,2,Amiens,0,2019,2020,2019,FRA,6,9,1,2,0
2019-09-01 02:00:00,Nimes,3,Brest,0,2019,2020,2019,FRA,6,9,1,2,0
2019-09-01 02:00:00,Nantes,1,Montpellier,0,2019,2020,2019,FRA,6,9,1,2,0
2019-09-01 02:00:00,Angers,2,Dijon,0,2019,2020,2019,FRA,6,9,1,2,0
2019-09-01 21:00:00,Rennes,1,Nice,2,2019,2020,2019,FRA,6,9,1,21,0
2019-09-01 21:00:00,Reims,2,Lille,0,2019,2020,2019,FRA,6,9,1,21,0
2019-09-01 23:00:00,Strasbourg,2,Monaco,2,2019,2020,2019,FRA,6,9,1,23,0
2019-09-02 03:00:00,Marseille,1,St Etienne,0,2019,2020,2019,FRA,0,9,2,3,0
2019-09-14 01:00:00,Lille,2,Angers,1,2019,2020,2019,FRA,5,9,14,1,0
2019-09-14 02:45:00,Amiens,2,Lyon,2,2019,2020,2019,FRA,5,9,14,2,45
2019-09-14 23:30:00,PSG,1,Strasbourg,0,2019,2020,2019,FRA,5,9,14,23,30
2019-09-15 02:00:00,Montpellier,2,Nice,1,2019,2020,2019,FRA,6,9,15,2,0
2019-09-15 02:00:00,Dijon,0,Nimes,0,2019,2020,2019,FRA,6,9,15,2,0
2019-09-15 02:00:00,Brest,0,Rennes,0,2019,2020,2019,FRA,6,9,15,2,0
2019-09-15 02:00:00,Bordeaux,2,Metz,0,2019,2020,2019,FRA,6,9,15,2,0
2019-09-15 21:00:00,Nantes,1,Reims,0,2019,2020,2019,FRA,6,9,15,21,0
2019-09-15 23:00:00,St Etienne,2,Toulouse,2,2019,2020,2019,FRA,6,9,15,23,0
2019-09-16 03:00:00,Monaco,3,Marseille,4,2019,2020,2019,FRA,0,9,16,3,0
2019-09-21 02:45:00,Strasbourg,2,Nantes,1,2019,2020,2019,FRA,5,9,21,2,45
2019-09-21 23:30:00,Marseille,1,Montpellier,1,2019,2020,2019,FRA,5,9,21,23,30
2019-09-22 02:00:00,Metz,1,Amiens,2,2019,2020,2019,FRA,6,9,22,2,0
2019-09-22 02:00:00,Bordeaux,2,Brest,2,2019,2020,2019,FRA,6,9,22,2,0
2019-09-22 02:00:00,Nice,2,Dijon,1,2019,2020,2019,FRA,6,9,22,2,0
2019-09-22 02:00:00,Reims,0,Monaco,0,2019,2020,2019,FRA,6,9,22,2,0
2019-09-22 02:00:00,Nimes,1,Toulouse,0,2019,2020,2019,FRA,6,9,22,2,0
2019-09-22 21:00:00,Rennes,1,Lille,1,2019,2020,2019,FRA,6,9,22,21,0
2019-09-22 23:00:00,Angers,4,St Etienne,1,2019,2020,2019,FRA,6,9,22,23,0
2019-09-23 03:00:00,Lyon,0,PSG,1,2019,2020,2019,FRA,0,9,23,3,0
2019-09-25 01:00:00,Dijon,0,Marseille,0,2019,2020,2019,FRA,2,9,25,1,0
2019-09-25 03:00:00,Monaco,3,Nice,1,2019,2020,2019,FRA,2,9,25,3,0
2019-09-26 01:00:00,Toulouse,0,Angers,2,2019,2020,2019,FRA,3,9,26,1,0
2019-09-26 01:00:00,St Etienne,0,Metz,1,2019,2020,2019,FRA,3,9,26,1,0
2019-09-26 01:00:00,Nantes,1,Rennes,0,2019,2020,2019,FRA,3,9,26,1,0
2019-09-26 01:00:00,Montpellier,1,Nimes,0,2019,2020,2019,FRA,3,9,26,1,0
2019-09-26 01:00:00,Lille,2,Strasbourg,0,2019,2020,2019,FRA,3,9,26,1,0
2019-09-26 01:00:00,Brest,2,Lyon,2,2019,2020,2019,FRA,3,9,26,1,0
2019-09-26 01:00:00,Amiens,1,Bordeaux,3,2019,2020,2019,FRA,3,9,26,1,0
2019-09-26 03:00:00,PSG,0,Reims,2,2019,2020,2019,FRA,3,9,26,3,0
2019-09-28 19:30:00,Lyon,0,Nantes,1,2019,2020,2019,FRA,5,9,28,19,30
2019-09-28 23:30:00,Bordeaux,0,PSG,1,2019,2020,2019,FRA,5,9,28,23,30
2019-09-29 02:00:00,Angers,1,Amiens,1,2019,2020,2019,FRA,6,9,29,2,0
2019-09-29 02:00:00,Metz,2,Toulouse,2,2019,2020,2019,FRA,6,9,29,2,0
2019-09-29 02:00:00,Reims,1,Dijon,2,2019,2020,2019,FRA,6,9,29,2,0
2019-09-29 02:00:00,Nice,1,Lille,1,2019,2020,2019,FRA,6,9,29,2,0
2019-09-29 02:00:00,Monaco,4,Brest,1,2019,2020,2019,FRA,6,9,29,2,0
2019-09-29 21:00:00,Strasbourg,1,Montpellier,0,2019,2020,2019,FRA,6,9,29,21,0
2019-09-29 23:00:00,Nimes,0,St Etienne,1,2019,2020,2019,FRA,6,9,29,23,0
2019-09-30 03:00:00,Marseille,1,Rennes,1,2019,2020,2019,FRA,0,9,30,3,0
2019-10-05 02:45:00,Amiens,3,Marseille,1,2019,2020,2019,FRA,5,10,5,2,45
2019-10-05 23:30:00,PSG,4,Angers,0,2019,2020,2019,FRA,5,10,5,23,30
2019-10-06 02:00:00,Toulouse,1,Bordeaux,3,2019,2020,2019,FRA,6,10,6,2,0
2019-10-06 02:00:00,Nantes,1,Nice,0,2019,2020,2019,FRA,6,10,6,2,0
