time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,correct_year
2023-08-20 00:30:00,Frosinone,1,Napoli,3,2023,2024,2023
2023-08-20 00:30:00,Empoli,0,Verona,1,2023,2024,2023
2023-08-20 02:45:00,Genoa,1,Fiorentina,4,2023,2024,2023
2023-08-20 02:45:00,Inter,2,Monza,0,2023,2024,2023
2023-08-21 00:30:00,AS Roma,2,Salernitana,2,2023,2024,2023
2023-08-21 00:30:00,Sassuolo,0,Atalanta,2,2023,2024,2023
2023-08-21 02:45:00,Lecce,2,Lazio,1,2023,2024,2023
2023-08-21 02:45:00,Udinese,0,Juventus,3,2023,2024,2023
2023-08-22 00:30:00,Torino,0,Cagliari,0,2023,2024,2023
2023-08-22 02:45:00,Bologna,0,AC Milan,2,2023,2024,2023
2023-08-27 00:30:00,Monza,2,Empoli,0,2023,2024,2023
2023-08-27 00:30:00,Frosinone,2,Atalanta,1,2023,2024,2023
2023-08-27 02:45:00,Verona,2,AS Roma,1,2023,2024,2023
2023-08-27 02:45:00,AC Milan,4,Torino,1,2023,2024,2023
2023-08-28 00:30:00,Juventus,1,Bologna,1,2023,2024,2023
2023-08-28 00:30:00,Fiorentina,2,Lecce,2,2023,2024,2023
2023-08-28 02:45:00,Napoli,2,Sassuolo,0,2023,2024,2023
2023-08-28 02:45:00,Lazio,0,Genoa,1,2023,2024,2023
2023-08-29 00:30:00,Salernitana,1,Udinese,1,2023,2024,2023
2023-08-29 02:45:00,Cagliari,0,Inter,2,2023,2024,2023
2023-09-02 00:30:00,Sassuolo,3,Verona,1,2023,2024,2023
2023-09-02 02:45:00,AS Roma,1,AC Milan,2,2023,2024,2023
2023-09-03 00:30:00,Bologna,2,Cagliari,1,2023,2024,2023
2023-09-03 00:30:00,Udinese,0,Frosinone,0,2023,2024,2023
2023-09-03 02:45:00,Napoli,1,Lazio,2,2023,2024,2023
2023-09-03 02:45:00,Atalanta,3,Monza,0,2023,2024,2023
2023-09-04 00:30:00,Torino,1,Genoa,0,2023,2024,2023
2023-09-04 00:30:00,Inter,4,Fiorentina,0,2023,2024,2023
2023-09-04 02:45:00,Lecce,2,Salernitana,0,2023,2024,2023
2023-09-04 02:45:00,Empoli,0,Juventus,2,2023,2024,2023
2023-09-16 21:00:00,Juventus,3,Lazio,1,2023,2024,2023
2023-09-17 00:00:00,Inter,5,AC Milan,1,2023,2024,2023
2023-09-17 02:45:00,Genoa,2,Napoli,2,2023,2024,2023
2023-09-17 18:30:00,Cagliari,0,Udinese,0,2023,2024,2023
